iter	Logloss	Accuracy
0	0.6905332257	0.6115007013
1	0.688060687	0.6423562412
2	0.6860678369	0.6633941094
3	0.683336708	0.6704067321
4	0.6805305258	0.6942496494
5	0.6781857798	0.7223001403
6	0.6744793732	0.7419354839
7	0.6710679063	0.7419354839
8	0.668314675	0.7545582048
9	0.6660554534	0.747545582
10	0.6639485439	0.7573632539
11	0.6617151925	0.7531556802
12	0.6593980478	0.7419354839
13	0.6570526852	0.744740533
14	0.6549899474	0.7531556802
15	0.653197392	0.7559607293
16	0.6512195649	0.7503506311
17	0.6487449662	0.7503506311
18	0.6465097751	0.7643758766
19	0.6455395282	0.762973352
20	0.6435542132	0.7657784011
21	0.6419310267	0.7713884993
22	0.6385972675	0.7741935484
23	0.6366670716	0.7727910238
24	0.6343020606	0.7812061711
25	0.6319776442	0.7713884993
26	0.6292637084	0.7910238429
27	0.6266555843	0.7952314165
28	0.6242674229	0.7868162693
29	0.6211234906	0.793828892
30	0.6179252498	0.7994389902
31	0.6161006173	0.8064516129
32	0.6142869952	0.8050490884
33	0.6131727503	0.8176718093
34	0.6118437634	0.8218793829
35	0.6086561781	0.824684432
36	0.606328344	0.8359046283
37	0.6039927167	0.8387096774
38	0.6018487592	0.840112202
39	0.5994202537	0.8457223001
40	0.5967584306	0.8513323983
41	0.59446343	0.8569424965
42	0.59233946	0.8513323983
43	0.5907299288	0.8597475456
44	0.5882350509	0.8555399719
45	0.5867772222	0.8597475456
46	0.5841033676	0.8625525947
47	0.5804364631	0.8709677419
48	0.5782917583	0.8709677419
49	0.5760399054	0.8681626928
50	0.5733146007	0.8681626928
51	0.571434446	0.873772791
52	0.5700803891	0.8765778401
53	0.5681880591	0.8779803647
54	0.5663315031	0.8779803647
55	0.565129619	0.8807854137
56	0.5631451759	0.8779803647
57	0.5619205469	0.8751753156
58	0.5597905412	0.8751753156
59	0.5577916304	0.8709677419
60	0.5557111432	0.8765778401
61	0.5541922842	0.8807854137
62	0.5522138805	0.8877980365
63	0.5501026125	0.8849929874
64	0.5480804949	0.889200561
65	0.5460822342	0.8934081346
66	0.5433847173	0.8948106592
67	0.5407000354	0.8976157083
68	0.5391218551	0.9004207574
69	0.5370515839	0.9004207574
70	0.5348422702	0.8990182328
71	0.5329563944	0.9004207574
72	0.5301477373	0.9074333801
73	0.527939369	0.9102384292
74	0.525959527	0.9116409537
75	0.5245519193	0.9116409537
76	0.5225372546	0.9074333801
77	0.520882905	0.9060308555
78	0.518641524	0.9130434783
79	0.5171045261	0.9144460028
80	0.5151793204	0.9158485273
81	0.5136202586	0.9158485273
