iter	Passed	Remaining
0	56	67552
1	130	77904
2	188	75247
3	247	73952
4	305	73004
5	364	72550
6	422	72059
7	480	71606
8	549	72775
9	608	72441
10	666	72031
11	724	71771
12	785	71751
13	843	71428
14	902	71287
15	971	71911
16	1029	71608
17	1087	71392
18	1161	72168
19	1220	71990
20	1279	71844
21	1338	71664
22	1400	71685
23	1459	71510
24	1519	71395
25	1582	71433
26	1642	71354
27	1702	71243
28	1766	71317
29	1829	71339
30	1888	71212
31	1948	71135
32	2009	71057
33	2069	70971
34	2135	71095
35	2199	71127
36	2259	71021
37	2318	70909
38	2377	70790
39	2441	70804
40	2500	70698
41	2560	70608
42	2621	70542
43	2679	70386
44	2739	70307
45	2801	70279
46	2861	70209
47	2925	70200
48	2983	70091
49	3044	70031
50	3106	69996
51	3179	70187
52	3243	70184
53	3300	70038
54	3364	70044
55	3425	69973
56	3489	69976
57	3551	69931
58	3612	69870
59	3671	69757
60	3731	69666
61	3795	69667
62	3855	69588
63	3917	69531
64	3981	69518
65	4039	69413
66	4098	69308
67	4157	69207
68	4228	69305
69	4288	69235
70	4349	69166
71	4408	69074
72	4469	69004
73	4527	68887
74	4585	68785
75	4643	68679
76	4702	68579
77	4763	68527
78	4823	68439
79	4885	68399
80	4945	68322
81	5005	68245
82	5066	68180
83	5125	68097
84	5191	68096
85	5257	68106
86	5318	68046
87	5377	67946
88	5436	67865
89	5497	67803
90	5555	67705
91	5617	67658
92	5677	67582
93	5734	67473
94	5793	67388
95	5854	67331
96	5917	67285
97	5978	67229
98	6039	67170
99	6101	67119
100	6179	67235
101	6249	67272
102	6308	67187
103	6367	67102
104	6442	67185
105	6501	67103
106	6563	67047
107	6623	66967
108	6683	66897
109	6743	66817
110	6804	66752
111	6862	66662
112	6925	66618
113	6985	66546
114	7045	66472
115	7105	66396
116	7164	66319
117	7232	66317
118	7299	66306
119	7358	66228
120	7422	66185
121	7495	66227
122	7557	66172
123	7618	66108
124	7679	66046
125	7742	65993
126	7803	65926
127	7862	65844
128	7925	65796
129	7986	65734
130	8046	65664
131	8107	65595
132	8165	65508
133	8230	65474
134	8303	65508
135	8364	65443
136	8426	65383
137	8486	65307
138	8545	65228
139	8604	65149
140	8664	65074
141	8726	65015
142	8786	64944
143	8846	64875
144	8911	64840
145	8970	64757
146	9032	64702
147	9093	64638
148	9153	64565
149	9214	64501
150	9273	64421
151	9342	64417
152	9401	64336
153	9459	64249
154	9521	64191
155	9583	64139
156	9646	64085
157	9708	64026
158	9768	63955
159	9827	63880
160	9887	63810
161	9949	63753
162	10009	63680
163	10069	63611
164	10131	63549
165	10192	63486
166	10253	63422
167	10328	63444
168	10387	63369
169	10452	63329
170	10512	63256
171	10572	63190
172	10633	63123
173	10693	63052
174	10752	62979
175	10812	62907
176	10871	62834
177	10933	62774
178	10992	62700
179	11055	62646
180	11113	62569
181	11175	62510
182	11236	62444
183	11295	62370
184	11367	62369
185	11427	62295
186	11486	62225
187	11546	62155
188	11604	62073
189	11664	62008
190	11723	61933
191	11785	61875
192	11843	61797
193	11905	61738
194	11965	61669
195	12025	61598
196	12084	61527
197	12144	61456
198	12205	61393
199	12265	61325
200	12326	61262
201	12398	61257
202	12458	61189
203	12519	61124
204	12581	61064
205	12638	60983
206	12697	60911
207	12755	60835
208	12816	60771
209	12877	60708
210	12944	60671
211	13002	60596
212	13063	60531
213	13124	60471
214	13187	60416
215	13247	60348
216	13308	60287
217	13380	60274
218	13444	60222
219	13504	60158
220	13563	60085
221	13622	60012
222	13681	59938
223	13741	59873
224	13802	59811
225	13863	59748
226	13927	59697
227	13987	59629
228	14048	59567
